brian,BPName,Account#,Contract#,ContractStartDt,ContractEndDt,Rate,Premise#,PremiseAddress,UsageMonth,Invoice#,Bill#,BillPeriodStartDate,BillPeriodEndDate,BillPeriodDays,BillAmount,kWhQty,BilledkW,ActualkW,BLC,Meter#
10484535,BOISE STATE UNIVERSITY,2206230613,30465312,2/28/2013,NULL,I19P,60221345,1910 UNIVERSITY DR /BOISE ID 83725-0002,202201,6052546838,1468088206,12/1/2021,12/31/2021,31,87531.64,1389926,2822,2822,3442,9080131
10484535,BOISE STATE UNIVERSITY,2206230613,30465360,2/28/2013,NULL,I19P,60039965,1830 UNIVERSITY DR /BOISE ID 83725-0002,202201,6052546838,1529259684,12/1/2021,12/31/2021,31,94488.53,1551912,2808,2808,3996,10090219
10255635,BOISE STATE UNIVERSITY,2200469662,32584879,10/25/2017,NULL,I01,60153265,2016 W BOISE AVE 2 /BOISE ID 83706-3108,202201,6558198433,1115343182,12/24/2021,1/24/2022,32,17.34,128,NULL,4,NULL,10290814
10255635,BOISE STATE UNIVERSITY,2200547103,32579093,9/28/2017,NULL,I01,60409969,1843 W UNIVERSITY DR BLDG 369 /BOISE ID 83706-3020,202201,6573516206,1054121045,11/30/2021,12/29/2021,30,88.35,879,NULL,6,NULL,10320376
10484535,BOISE STATE UNIVERSITY,2204654137,30359731,12/24/2002,NULL,I09S,60420117,1023 GRANT AVE /BOISE ID 83706-3241,202201,6527562669,1575157546,12/24/2021,1/24/2022,32,186.93,1620,6,5.8,15,10340450
10255635,BOISE STATE UNIVERSITY,2223504115,32582173,10/25/2017,NULL,I01,60504579,1311 S CHRISWAY DR 310 /BOISE ID 83706-4181,202201,6067860335,1513962195,12/24/2021,1/24/2022,32,34.75,312,NULL,6,NULL,10744496
10484535,BOISE STATE UNIVERSITY,2204654137,33077121,10/26/2021,NULL,I09S,60472570,1114 S MANITOU AVE CT /BOISE ID 83706-3256,202201,6527562669,1115343275,12/24/2021,1/24/2022,32,1220.19,17460,51,50.8,49,10894900
10484535,BOISE STATE UNIVERSITY,2204654137,30274587,1/31/1989,NULL,I09S,60085725,50 N 520 E /JEROME ID 83338-0000,202201,6527562669,1575154579,12/22/2021,1/19/2022,29,402.16,5412,11.00,11.22,12,12093493
10484535,BOISE STATE UNIVERSITY,2204654137,33076930,10/26/2021,NULL,I07,60121147,1031 LINCOLN AVE /BOISE ID 83706-3281,202201,6527562669,1100049722,12/24/2021,1/24/2022,32,66.48,510,NULL,1.00,NULL,13440624
10255635,BOISE STATE UNIVERSITY,2200547103,32791747,5/8/2019,NULL,I01,60529174,1923 Yale Ct garage /BOISE ID 83716,202201,6573516206,1130595265,11/30/2021,12/29/2021,30,105.53,1047,NULL,5,NULL,13826162
10255635,BOISE STATE UNIVERSITY,2200547103,32579991,10/25/2017,NULL,I01,60141420,1813 W POTTER DR /BOISE ID 83706-3146,202201,6573516206,1544549245,12/24/2021,1/24/2022,32,83.71,827,NULL,11,NULL,19410537
10484535,BOISE STATE UNIVERSITY,2204654137,33076900,10/26/2021,NULL,I09S,60191272,1112 S MANITOU AVE SHOP /BOISE ID 83706-3256,202201,6527562669,1115343184,12/24/2021,1/24/2022,32,255.95,2548,10,10.31,10,20049896
10255635,BOISE STATE UNIVERSITY,2200547103,32857305,11/1/2019,NULL,I01,60247756,1833 W POTTER DR /BOISE ID 83706-3146,202201,6573516206,1069455145,12/24/2021,1/24/2022,32,98.75,973,NULL,13,NULL,20653789
10484535,BOISE STATE UNIVERSITY,2204654137,33076906,10/26/2021,NULL,I09S,60134536,1129 S EUCLID AVE /BOISE ID 83706-3237,202201,6527562669,1468089941,12/24/2021,1/24/2022,32,639.55,8500,32,31.6,32,21262879
10484535,BOISE STATE UNIVERSITY,2206230613,33078136,9/1/2021,NULL,I09P,60338347,220 E PARKCENTER BLVD /BOISE ID 83706-3940,202201,6052546838,1100048057,12/1/2021,12/31/2021,31,4879.13,62081,142.00,142.08,215,21862645
10484535,BOISE STATE UNIVERSITY,2204654137,33077048,10/26/2021,NULL,I09S,60582616,1029 MANITOU AVE 1/2 /BOISE ID 83706-3253,202201,6527562669,1130633675,12/24/2021,1/24/2022,32,247.72,2393,8,7.85,8,22202725
10484535,BOISE STATE UNIVERSITY,2206230613,30465260,2/28/2013,NULL,I19P,60482506,1090 S GRANT AVE /BOISE ID 83706-3242,202201,6052546838,1054158495,12/1/2021,12/31/2021,31,52728.77,835752,1516.00,1516.00,2523,29864571
10484535,BOISE STATE UNIVERSITY,2204654137,33082607,11/4/2021,NULL,I09S,60053716,5498 W ALBATROS LN 105 /BOISE ID 83705,202201,6527562669,1544546759,12/23/2021,1/21/2022,30,73.47,540,4.00,3.60,5,36052464
10484535,BOISE STATE UNIVERSITY,2201019821,33076702,10/26/2021,NULL,I09S,60008648,1305 S CHRISWAY DR HSE-E /BOISE ID 83706-4266,202201,6159761347,1513961829,12/24/2021,1/24/2022,32,324.55,3840,9,8.8,9,36052612
10484535,BOISE STATE UNIVERSITY,2201019821,33076696,10/26/2021,NULL,I09S,60111218,1301 S CHRISWAY DR HSE-F /BOISE ID 83706-4274,202201,6159761347,1145915369,12/24/2021,1/24/2022,32,343.67,4200,8,8,9,36052614
10484535,BOISE STATE UNIVERSITY,2201019821,33076712,10/26/2021,NULL,I09S,60424728,1309 S CHRISWAY DR HSE-C /BOISE ID 83706-4187,202201,6159761347,1176473180,12/24/2021,1/24/2022,32,519.97,7520,16,16,18,36052635
10484535,BOISE STATE UNIVERSITY,2204654137,33077011,10/26/2021,NULL,I09S,60014316,2235 W UNIVERSITY DR HSE /BOISE ID 83706-3028,202201,6527562669,1100050467,12/24/2021,1/24/2022,32,227.04,2004,3.00,3.16,2,36116237
10484535,BOISE STATE UNIVERSITY,2204654137,33076995,10/26/2021,NULL,I09S,60441077,2201 W UNIVERSITY DR HSE /BOISE ID 83706-3028,202201,6527562669,1468089877,12/24/2021,1/24/2022,32,228.17,2025,5.00,5.20,5,36116242
10484535,BOISE STATE UNIVERSITY,2201019821,33076704,10/26/2021,NULL,I09S,60001981,1307 S CHRISWAY DR HSE-D /BOISE ID 83706-4258,202201,6159761347,1559845465,12/24/2021,1/24/2022,32,420.14,5640,12,11.6,12,36116305
10484535,BOISE STATE UNIVERSITY,2201019821,33076718,10/26/2021,NULL,I09S,60349546,1313 S CHRISWAY DR /BOISE ID 83706-3365,202201,6159761347,1483384597,12/24/2021,1/24/2022,32,396.77,5200,13,12.8,15,36116353
10484535,BOISE STATE UNIVERSITY,2201019821,33076719,10/26/2021,NULL,I09S,60420353,1313 S CHRISWAY DR HSE-A /BOISE ID 83706-3365,202201,6159761347,1529262104,12/24/2021,1/24/2022,32,490.23,6960,15,14.8,14,36116444
10484535,BOISE STATE UNIVERSITY,2204654137,33076987,10/1/2021,NULL,I09S,60012585,415 E WARM SPRINGS AVE /BOISE ID 83712-6238,202201,6527562669,1069418776,12/1/2021,12/30/2021,30,269.32,2800,11.00,11.20,16,36128991
10484535,BOISE STATE UNIVERSITY,2204654137,33077016,10/26/2021,NULL,I09S,60105930,2249 W UNIVERSITY DR /BOISE ID 83706-3028,202201,6527562669,1575157662,12/24/2021,1/24/2022,32,820.13,12000,32.00,32.00,27,36129041
10484535,BOISE STATE UNIVERSITY,2201019821,30100200,6/21/2012,NULL,I09S,60164538,1104 S LINCOLN 329 /BOISE ID 83725-0001,202201,6159761347,1483384349,12/24/2021,1/24/2022,32,1357.3,19360,58,58,53,36209851
10484535,BOISE STATE UNIVERSITY,2201019821,30100195,6/21/2012,NULL,I09S,60492813,1107 S LINCOLN AVE 331 /BOISE ID 83706,202201,6159761347,1191740084,12/24/2021,1/24/2022,32,1440.78,20720,60,60,55,36263556
10484535,BOISE STATE UNIVERSITY,2204654137,30283032,9/22/2004,NULL,I09S,60007084,2207 W UNIVERSITY DR /BOISE ID 83706-3028,202201,6527562669,1176473513,12/24/2021,1/24/2022,32,201.84,1762,5.00,5.13,5,36265997
10484535,BOISE STATE UNIVERSITY,2204654137,30359787,11/2/2000,NULL,I09S,60420140,1019 GRANT AVE /BOISE ID 83706-3241,202201,6527562669,1452828297,12/24/2021,1/24/2022,32,940.61,14480,27.00,27.20,38,36266089
10484535,BOISE STATE UNIVERSITY,2204654137,33076996,10/26/2021,NULL,I09S,60105552,2223 W UNIVERSITY DR A /BOISE ID 83706-3028,202201,6527562669,1130632408,12/24/2021,1/24/2022,32,148.79,1257,4.00,3.82,4,36272790
10484535,BOISE STATE UNIVERSITY,2204654137,33077127,10/26/2021,NULL,I09S,60010212,2500 W BOISE AVE BLDG 362 /BOISE ID 83706-2901,202201,6527562669,1000371424,12/24/2021,1/24/2022,32,16.74,0,0.00,0.00,1,36332653
10484535,BOISE STATE UNIVERSITY,2204654137,33077034,10/2/2021,NULL,I09S,60439745,301 S CAPITOL BLVD B /BOISE ID 83702-7101,202201,6527562669,1468053259,12/2/2021,1/3/2022,33,517.16,7467,19.00,19.08,19,36371561
10484535,BOISE STATE UNIVERSITY,2204654137,33077123,10/26/2021,NULL,I09S,60319569,2209 W UNIVERSITY DR /BOISE ID 83706-3028,202201,6527562669,1115343498,12/24/2021,1/24/2022,32,45.84,277,2.00,1.61,3,36371574
